text,created_at,updated_at,original,paredao
look milhoes deus,15/03/2022 00:53:52,14/03/2022 21:54:05,"Esse look de milhoes, meu deus @Aguiarthur  #BBB22 https://t.co/uzDpV2b0kk",
gustavo lucas podem recolher tralhas ir lollipop estando dois par,15/03/2022 00:53:52,14/03/2022 21:54:05,"RT @monni_tuiteira: Por mim Gustavo e Lucas podem recolher suas tralhas e ir pro Lollipop, pq mesmo nao estando la... pra mim OS DOIS sao par...",
entenda escalacao time pipoca edicao vende jogo camarotes boicota alguns enredos d,15/03/2022 00:53:51,14/03/2022 21:54:05,RT @samtuitaa: Entenda a escalacao do time pipoca do #BBB22 e porque a edicao vende tao bem o jogo dos camarotes e boicota alguns enredos d...,
fofosss reproducao globoplay globo,15/03/2022 00:53:51,14/03/2022 21:54:05,"RT @acervo5eslus: #MomentosEslu : fofosss

reproducao globoplay/globo #BBB22 https://t.co/K4RiYrR7Jk",
pensei camarotes,15/03/2022 00:53:51,14/03/2022 21:54:05,"Pensei bem, e se nao fossem os camarotes que seria desse #BBB22 ?",
facil tirar scooby serio interpretando personagem nada zen finge,15/03/2022 00:53:51,14/03/2022 21:54:05,"RT @Dantinhas: E facil tirar o Scooby do serio, por isso acho que ele ta interpretando uma personagem ai. Ele nao e nada zen como finge ser...",
mundo reclama cast graca veio jogo oportunidade tirar alguem,15/03/2022 00:53:50,14/03/2022 21:54:05,RT @thadeurn: Todo mundo reclama que o cast do #bbb22 e sem graca e nao veio pro jogo mas quando tem a oportunidade de tirar alguem que diz...,
nada contra todos eliminados somente espaco fantastico demais deveria haver dif,15/03/2022 00:53:50,14/03/2022 21:54:05,RT @lizianetierrez: Nada contra a #JadePicon mas de todos eliminados somente ela ter espaco no fantastico e demais!!! Nao deveria haver dif...,
arthur comeca cantar deus proteja maldade boa patetico gnt,15/03/2022 00:53:50,14/03/2022 21:54:05,"RT @prizellybombinh: Ja ja o Arthur comeca a cantar "" Deus me proteja de mim .. e da maldade de gente boa"" ... patetico e ainda tem gnt que...",
lado discussao,15/03/2022 00:53:50,14/03/2022 21:54:05,"RT @mayconreality: Vcs tao do lado que nessa discussao  !?
#BBB22 https://t.co/7YS8w2OQe0",
dia passa entendo baldada maria cabeca natalia simplesmente insuportavel,15/03/2022 00:53:50,14/03/2022 21:54:05,"RT @bbb_storm: Cada dia que passa, mais eu entendo a baldada que a Maria deu na cabeca da Natalia. Ela e simplesmente insuportavel! E isso!...",
scooby lucas perfeito indicacao lider,15/03/2022 00:53:50,14/03/2022 21:54:05,"RT @chicobarney: Fora, Scooby! Lucas foi perfeito na indicacao do lider. #BBB22 
https://t.co/t0rwGhvaWa",
mutirao feat iniciado comente emoji 10 votos encerra 22h voto elimi,15/03/2022 00:53:50,14/03/2022 21:54:05,"RT @PedroScooby:  MUTIRAO feat. @iampauloandre INICIADO 

 Comente um emoji a cada 10 votos.

 Encerra 22h. 
 
 O voto e para elimi...",
sequencia,15/03/2022 00:53:49,14/03/2022 21:54:05,RT @paiva: essa sequencia  #bbb22 https://t.co/j4c5jNl1N4,
mutirao feat iniciado comente emoji 20 votos encerra 20h voto eliminar,15/03/2022 00:53:49,14/03/2022 21:54:05,"RT @PedroScooby:  MUTIRAO feat. @Aguiarthur INICIADO 

 Comente um emoji a cada 20 votos.

 Encerra 20h. 
 
 O voto e para eliminar...",
lucas falou arthur pa scooby vao sair primeiro kkkkkkkkkkkkkkkk sedento votar,15/03/2022 00:53:49,14/03/2022 21:54:05,"RT @ImperioRenault_: Lucas falou que Arthur, PA e Scooby vao sair primeiro que ele KKKKKKKKKKKKKKKK. Sedento pra votar #ForaLucas #BBB22",#foralucas
salto pa,15/03/2022 00:53:49,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
vyni pode chato forcado jamais vou torcer contra favor outro chato playboy bolsomi,15/03/2022 00:53:48,14/03/2022 21:54:05,"RT @mr_littlewhite: Vyni pode ser chato e forcado, mas jamais que eu vou torcer contra ele e a favor de outro chato e que e playboy bolsomi...",
falar indiferente amizades dentro mano scooby falei game lucas deixou,15/03/2022 00:53:48,14/03/2022 21:54:05,"RT @ZAMENZA: ""Vem falar que eu sou indiferente as minhas amizades aqui dentro, mano?"" (Scooby)
""Eu falei do game."" (Lucas)
""Ele deixou bem...",
sequencia,15/03/2022 00:53:47,14/03/2022 21:54:05,RT @paiva: essa sequencia  #bbb22 https://t.co/j4c5jNl1N4,
notorio eli saco cheio vyni complicado viu,15/03/2022 00:53:47,14/03/2022 21:54:05,E notorio que o Eli ja ta de saco cheio do Vyni. Muito complicado viu?! #BBB22 #RedeBBB,
arthur campeao,15/03/2022 00:53:47,14/03/2022 21:54:05,"@RealitysVip #BBB22 Arthur campeao
 https://t.co/8UYNfx7uTB",
vini sabe fica assim querem fique amor deus,15/03/2022 00:53:47,14/03/2022 21:54:05,O vini so sabe fica assim e voces querem que ele fique ???? Pelo amor de Deus #ForaViny https://t.co/otiuD1TrEl,#foravyni
tava meio cara barao gosta trabalhar eslo descobrir sair,15/03/2022 00:53:46,14/03/2022 21:54:05,"#bbb22 tava meio na cara que o Barao nao gosta de trabalhar, Eslo so vai descobrir quando sair",
vamos abracao lucas precisando bicho indo fundo poco sujo,15/03/2022 00:53:46,14/03/2022 21:54:05,"RT @ZAMENZA: ""Vamos dar um abracao no Lucas?""
""To precisando mesmo, bicho.""

EU TO COM ELES. ESTOU INDO PRO FUNDO DO POCO COM ELES. SUJO DE...",
internet perdoa,15/03/2022 00:53:46,14/03/2022 21:54:05,A internet nao perdoa kkkk #ELIEZER  #vinny #BBB22 https://t.co/8TKZ23CbAe,
